Volatility 3 Framework 2.7.0

PID	Process	Offset	HandleValue	Type	GrantedAccess	Name
4	System	0x81fdc930	0x494	File	0x12019f	\Device\Tcp
4	System	0x81fdcae8	0x498	File	0x12019f	\Device\Tcp
4	System	0x81fdcca0	0x49c	File	0x12019f	\Device\Tcp
4	System	0x81fdce58	0x4a0	File	0x12019f	\Device\Tcp
4	System	0x81fdcf90	0x4a4	File	0x12019f	\Device\Tcp
4	System	0x81c9d1d0	0x4a8	File	0x12019f	\Device\Tcp
4	System	0x81c9d388	0x4ac	File	0x12019f	\Device\Tcp
4	System	0x81c9d540	0x4b0	File	0x12019f	\Device\Tcp
4	System	0x81c9d6f8	0x4b4	File	0x12019f	\Device\Tcp
4	System	0x81c9d8b0	0x4b8	File	0x12019f	\Device\Tcp
4	System	0x81c9da68	0x4bc	File	0x12019f	\Device\Tcp
4	System	0x81c9dc20	0x4c0	File	0x12019f	\Device\Tcp
4	System	0x81c9ddd8	0x4c4	File	0x12019f	\Device\Tcp
4	System	0x81c9df90	0x4c8	File	0x12019f	\Device\Tcp
4	System	0x81def0e0	0x4cc	File	0x12019f	\Device\Tcp
4	System	0x81def298	0x4d0	File	0x12019f	\Device\Tcp
4	System	0x81def450	0x4d4	File	0x12019f	\Device\Tcp
4	System	0x81def608	0x4d8	File	0x12019f	\Device\Tcp
4	System	0x81def7c0	0x4dc	File	0x12019f	\Device\Tcp
4	System	0x81def978	0x4e0	File	0x12019f	\Device\Tcp
4	System	0x81defb30	0x4e4	File	0x12019f	\Device\Tcp
4	System	0x81defce8	0x4e8	File	0x12019f	\Device\Tcp
4	System	0x81defea0	0x4ec	File	0x12019f	\Device\Tcp
4	System	0x81fdd450	0x4f0	File	0x12019f	\Device\Tcp
4	System	0x81fdd608	0x4f4	File	0x12019f	\Device\Tcp
4	System	0x81fdd7c0	0x4f8	File	0x12019f	\Device\Tcp
4	System	0x81fdd978	0x4fc	File	0x12019f	\Device\Tcp
4	System	0x81fddb30	0x500	File	0x12019f	\Device\Tcp
4	System	0x81fddce8	0x504	File	0x12019f	\Device\Tcp
4	System	0x81fddea0	0x508	File	0x12019f	\Device\Tcp
4	System	0x81c9e110	0x50c	File	0x12019f	\Device\Tcp
4	System	0x81c9e2c8	0x510	File	0x12019f	\Device\Tcp
4	System	0x81c9e480	0x514	File	0x12019f	\Device\Tcp
4	System	0x81c9e638	0x518	File	0x12019f	\Device\Tcp
4	System	0x81c9e7f0	0x51c	File	0x12019f	\Device\Tcp
4	System	0x81c9e9a8	0x520	File	0x12019f	\Device\Tcp
4	System	0x81c9eb60	0x524	File	0x12019f	\Device\Tcp
4	System	0x81c9ed18	0x528	File	0x12019f	\Device\Tcp
4	System	0x81c9eea0	0x52c	File	0x12019f	\Device\Tcp
4	System	0x81c9e028	0x530	File	0x12019f	\Device\Tcp
4	System	0x81df0250	0x534	File	0x12019f	\Device\Tcp
4	System	0x81df0408	0x538	File	0x12019f	\Device\Tcp
4	System	0x81df05c0	0x53c	File	0x12019f	\Device\Tcp
4	System	0x81df0778	0x540	File	0x12019f	\Device\Tcp
4	System	0x81df0930	0x544	File	0x12019f	\Device\Tcp
4	System	0x81df0ae8	0x548	File	0x12019f	\Device\Tcp
4	System	0x81df0ca0	0x54c	File	0x12019f	\Device\Tcp
4	System	0x81df0e58	0x550	File	0x12019f	\Device\Tcp
4	System	0x81df0f90	0x554	File	0x12019f	\Device\Tcp
4	System	0x81fde1d0	0x558	File	0x12019f	\Device\Tcp
4	System	0x81ebb348	0x55c	File	0x2000003	\Device\HarddiskVolume1\Documents and Settings\NetworkService\ntuser.dat.LOG
4	System	0xe1713140	0x560	Key	0x2001f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\VIDEO\{666EC1F2-49F7-4058-B6EC-4408FF00EF69}\0000\VOLATILESETTINGS
4	System	0x81dd6d38	0x564	Desktop	0xf0003	Disconnect
4	System	0x81dcd020	0x568	Thread	0x1f03ff	Tid 292 Pid 4
4	System	0xe1a662d0	0x56c	Port	0x1f0001	
4	System	0x822832a0	0x578	File	0x12019f	\Device\Tcp
4	System	0x82296238	0x580	Thread	0x1f03ff	Tid 288 Pid 4
4	System	0x822678a0	0x584	File	0x12019f	\Device\Tcp
4	System	0x822759b0	0x588	Event	0x1f0003	StuckThreadEvent
4	System	0x820a18b0	0x58c	File	0x2000003	\Device\HarddiskVolume1\WINDOWS\system32\config\default.LOG
4	System	0x822a9910	0x590	File	0x3	\Device\HarddiskVolume1\WINDOWS\system32\config\system.LOG
4	System	0x8228a090	0x594	File	0x2000003	\Device\HarddiskVolume1\WINDOWS\system32\config\default
4	System	0xe1614168	0x598	Directory	0x4	WindowStations
4	System	0x822a9b48	0x59c	File	0x3	\Device\HarddiskVolume1\WINDOWS\system32\config\system
4	System	0x822a9e48	0x5a0	File	0x2000003	\Device\HarddiskVolume1\WINDOWS\system32\config\software.LOG
4	System	0xe1a63b50	0x5a4	Port	0x1f0001	
4	System	0x822a9028	0x5a8	File	0x2000003	\Device\HarddiskVolume1\WINDOWS\system32\config\software
4	System	0x8210db28	0x5ac	Thread	0x1f03ff	Tid 352 Pid 4
4	System	0x81ef4c48	0x5b0	File	0x120089	\Device\Tcp
4	System	0x81dcb1e0	0x5b4	File	0x12019f	\Device\Tcp
4	System	0x820a3b80	0x5b8	File	0x12019f	\Device\Gpc
4	System	0x82214dc8	0x5bc	File	0x12019f	\Device\Gpc
4	System	0x8207a8d0	0x5c0	File	0x12019f	\Device\Tcp
4	System	0x82284dd8	0x5c4	File	0x12019f	\Device\Udp
4	System	0x81dde390	0x5c8	File	0x2000003	\Device\HarddiskVolume1\WINDOWS\system32\config\SECURITY
4	System	0x820951f0	0x5cc	File	0x140003	\Device\HarddiskVolume1\pagefile.sys
4	System	0x820a1028	0x5d0	File	0x2000003	\Device\HarddiskVolume1\WINDOWS\system32\config\SAM
4	System	0x820a34c0	0x5d4	File	0x12019f	\Device\Tcp
4	System	0xe1715738	0x5d8	Key	0x20019	MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADAPTER
4	System	0xe16192f8	0x5dc	Key	0x20019	MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADAPTER
4	System	0x82114f50	0x5e0	File	0x2000003	\Device\HarddiskVolume1\WINDOWS\system32\config\SECURITY.LOG
4	System	0x820a1af8	0x5e8	File	0x2000003	\Device\HarddiskVolume1\WINDOWS\system32\config\SAM.LOG
4	System	0x822993a8	0x5ec	Event	0x100003	LanmanServerAnnounceEvent
4	System	0x82306de8	0x5f0	File	0x20	\Device\HGFS
4	System	0x81e70020	0x5f4	Process	0x28	lsass.exe Pid 680
4	System	0x820780d0	0x5f8	File	0x120116	\Device\Mup
4	System	0xe1736430	0x600	Port	0x1f0001	SeRmCommandPort
4	System	0xe1a5e138	0x604	Key	0x2	MACHINE\SOFTWARE\MICROSOFT\CRYPTOGRAPHY\RNG
4	System	0x822671a0	0x608	File	0x2000003	\Device\HarddiskVolume1\Documents and Settings\NetworkService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG
4	System	0x81e70020	0x60c	Process	0x438	lsass.exe Pid 680
4	System	0x81ddca08	0x610	File	0x1f01ff	\Device\Tcp
4	System	0x81ef2088	0x614	File	0x2000003	\Device\HarddiskVolume1\Documents and Settings\NetworkService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat
4	System	0x82294a30	0x618	File	0x12019f	\Device\Tcp
4	System	0x81de0d58	0x61c	File	0x12019f	\Device\Tcp
4	System	0x81de0cc0	0x620	File	0x12019f	\Device\Tcp
4	System	0x82081ae8	0x624	File	0x12019f	\Device\Tcp
4	System	0x81ec8788	0x628	File	0x12019f	\Device\Tcp
4	System	0x81ec85d0	0x62c	File	0x12019f	\Device\Tcp
4	System	0x82254a60	0x630	File	0x12019f	\Device\Tcp
4	System	0x82332b90	0x634	File	0x12019f	\Device\Tcp
4	System	0x8223aec0	0x638	File	0x12019f	\Device\Tcp
4	System	0x8223ad38	0x63c	File	0x12019f	\Device\Tcp
4	System	0x822e6898	0x640	File	0x12019f	\Device\Tcp
4	System	0x81da3520	0x644	File	0x12019f	\Device\Tcp
4	System	0x820608f0	0x648	File	0x12019f	\Device\Tcp
4	System	0x820607b8	0x64c	File	0x12019f	\Device\Tcp
4	System	0x82065438	0x650	File	0x12019f	\Device\Tcp
4	System	0x81e61b90	0x654	File	0x12019f	\Device\Tcp
4	System	0x81e61a58	0x658	File	0x12019f	\Device\Tcp
4	System	0x82267a28	0x65c	File	0x12019f	\Device\Tcp
4	System	0x821a4b70	0x660	File	0x12019f	\Device\Tcp
4	System	0x821a49e8	0x664	File	0x12019f	\Device\Tcp
4	System	0x8208c4d8	0x668	File	0x12019f	\Device\Tcp
4	System	0x8208c320	0x66c	File	0x12019f	\Device\Tcp
4	System	0x822505b8	0x670	File	0x12019f	\Device\Tcp
4	System	0x82250400	0x674	File	0x12019f	\Device\Tcp
4	System	0x820e67e8	0x678	File	0x12019f	\Device\Tcp
4	System	0x820e6630	0x67c	File	0x12019f	\Device\Tcp
4	System	0x820e6478	0x680	File	0x12019f	\Device\Tcp
4	System	0x821a3be0	0x684	File	0x12019f	\Device\Tcp
4	System	0x821a3a28	0x688	File	0x12019f	\Device\Tcp
4	System	0x821a3870	0x68c	File	0x12019f	\Device\Tcp
4	System	0x821a36b8	0x690	File	0x12019f	\Device\Tcp
4	System	0x81eb8028	0x694	File	0x12019f	\Device\Tcp
4	System	0x81eb8b10	0x698	File	0x12019f	\Device\Tcp
4	System	0x81eb8958	0x69c	File	0x12019f	\Device\Tcp
4	System	0x81eb87a0	0x6a0	File	0x12019f	\Device\Tcp
4	System	0x81eb85e8	0x6a4	File	0x12019f	\Device\Tcp
4	System	0x81eb8430	0x6a8	File	0x12019f	\Device\Tcp
4	System	0x81eb8278	0x6ac	File	0x12019f	\Device\Tcp
4	System	0x82283e28	0x6b0	File	0x12019f	\Device\Tcp
4	System	0x82283cf0	0x6b4	File	0x12019f	\Device\Tcp
4	System	0x82283b38	0x6b8	File	0x12019f	\Device\Tcp
4	System	0x82283980	0x6bc	File	0x12019f	\Device\Tcp
4	System	0x822837c8	0x6c0	File	0x12019f	\Device\Tcp
4	System	0x822e3ef0	0x6c4	File	0x12019f	\Device\Tcp
4	System	0x8232fd50	0x6c8	Thread	0x0	Tid 116 Pid 4
4	System	0x82283610	0x6cc	File	0x12019f	\Device\Tcp
4	System	0x82283458	0x6d0	File	0x12019f	\Device\Tcp
4	System	0x822e3d38	0x6d8	File	0x12019f	\Device\Tcp
4	System	0x822e3b80	0x6dc	File	0x12019f	\Device\Tcp
4	System	0x82307898	0x6e0	File	0x12019f	\Device\Tcp
4	System	0x81e957b8	0x6e4	File	0x2000003	\Device\HarddiskVolume1\Documents and Settings\LocalService\ntuser.dat.LOG
4	System	0x81f72630	0x6e8	File	0x1200a0	\Device\Udp
4	System	0x82299960	0x6ec	File	0x2000003	\Device\HarddiskVolume1\Documents and Settings\LocalService\NTUSER.DAT
4	System	0x82210e20	0x6f0	File	0x12019f	\Device\Tcp
4	System	0x81ef03f8	0x6f4	File	0x2000003	\Device\HarddiskVolume1\Documents and Settings\LocalService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat
4	System	0x81e952f0	0x6f8	File	0x2000003	\Device\HarddiskVolume1\Documents and Settings\LocalService\Local Settings\Application Data\Microsoft\Windows\UsrClass.dat.LOG
4	System	0x81ee07c0	0x704	File	0x120116	\Device\Mup
4	System	0x820e0c78	0x708	File	0x20	\Device\LanmanRedirector
4	System	0x81c763a8	0x710	File	0x1200a0	\Device\Udp
4	System	0x81ecdbe8	0x718	File	0x12019f	\Device\Tcp
4	System	0x81c86d20	0x71c	File	0x12019f	\Device\Tcp
4	System	0x81de60a0	0x720	File	0x12019f	\Device\Tcp
4	System	0x81c96e28	0x728	File	0x12019f	\Device\Tcp
4	System	0x81fa5390	0x750	Process	0x1f03ff	wmiprvse.exe Pid 1872
4	System	0x822843e8	0x75c	Process	0x1f03ff	svchost.exe Pid 1032
4	System	0x821332f0	0x7c0	File	0x12019f	\Device\Tcp
4	System	0x81fb0758	0x7c8	File	0x12019f	\Device\Tcp
4	System	0x822b8f18	0x7d0	File	0x120116	\Device\HarddiskVolume1\System Volume Information\_restore{F1B1C1EE-3958-469D-8632-F535E5586737}\RP14\change.log
4	System	0x820d4b30	0x7d8	Thread	0x1f03ff	Tid 1976 Pid 4
4	System	0x8207ba70	0x7dc	File	0x120116	\Device\Mup
4	System	0x820e1668	0x7e4	Thread	0x1f03ff	Tid 1516 Pid 4
4	System	0x81da15f0	0x7ec	File	0x20	\Device\WebDavRedirector
4	System	0xe1e80c98	0x7f0	Port	0x1f0001	
4	System	0x81db24b0	0x7f4	File	0x12019f	\Device\NamedPipe\
4	System	0xe1f52f10	0x7f8	Token	0x20f01ff	
4	System	0xe1b9e0a0	0x7fc	Section	0xf001f	
4	System	0x81ca2770	0x810	File	0x12019f	\Device\Tcp
4	System	0x81c74c38	0x814	File	0x12019f	\Device\Tcp
4	System	0x81fa5e10	0x818	File	0x12019f	\Device\Tcp
4	System	0x81ca1cd0	0x81c	File	0x12019f	\Device\Tcp
4	System	0x81ca1600	0x824	File	0x12019f	\Device\Tcp
4	System	0xe1ef5550	0x82c	Key	0x2	MACHINE\SOFTWARE\MICROSOFT\CRYPTOGRAPHY\RNG
4	System	0x81fe0ce8	0x830	File	0x1f01ff	\Device\Udp
4	System	0x81df57b0	0x834	File	0x1f01ff	\Device\Udp
4	System	0x81da4280	0x838	File	0x1f01ff	\Device\RawIp\255
4	System	0x81fe7ef8	0x83c	File	0x12019f	\Device\Tcp
4	System	0x81fe7f90	0x840	File	0x1f01ff	\Device\Tcp
4	System	0x81ca6f90	0x844	File	0x12019f	\Device\Tcp
4	System	0x81ca6ef8	0x848	File	0x12019f	\Device\Tcp
4	System	0x81cac438	0x84c	File	0x12019f	\Device\Tcp
4	System	0x81cac3a0	0x850	File	0x12019f	\Device\Tcp
4	System	0x822bd0d0	0x854	File	0x12019f	\Device\Tcp
4	System	0x81da3028	0x858	File	0x12019f	\Device\Tcp
4	System	0x81e0a530	0x85c	File	0x12019f	\Device\Tcp
4	System	0x81fe1948	0x860	File	0x12019f	\Device\Tcp
4	System	0x81e8bd88	0x864	File	0x12019f	\Device\Tcp
4	System	0x81e0a108	0x868	File	0x12019f	\Device\Tcp
4	System	0x81cb0930	0x86c	File	0x12019f	\Device\Tcp
4	System	0x81caa028	0x870	File	0x12019f	\Device\Tcp
4	System	0x8205f5d8	0x874	File	0x12019f	\Device\Tcp
4	System	0x81ca53f0	0x878	File	0x12019f	\Device\Tcp
4	System	0x822980e0	0x87c	File	0x12019f	\Device\Tcp
4	System	0x820de028	0x880	File	0x12019f	\Device\Tcp
4	System	0x81ca5ef0	0x884	File	0x12019f	\Device\Tcp
4	System	0x81ca5aa0	0x888	File	0x12019f	\Device\Tcp
4	System	0x81ca5918	0x88c	File	0x12019f	\Device\Tcp
4	System	0x81fe5a60	0x890	File	0x12019f	\Device\Tcp
4	System	0x81df3790	0x894	File	0x12019f	\Device\Tcp
4	System	0x81df35d8	0x898	File	0x12019f	\Device\Tcp
4	System	0x81ca0e70	0x89c	File	0x12019f	\Device\Tcp
4	System	0x81fe0ef0	0x8a0	File	0x12019f	\Device\Tcp
4	System	0x81df3450	0x8a4	File	0x12019f	\Device\Tcp
4	System	0x81df32c8	0x8a8	File	0x12019f	\Device\Tcp
4	System	0x81df2ea0	0x8ac	File	0x12019f	\Device\Tcp
4	System	0x81e7c7a0	0x8b0	File	0x12019f	\Device\Tcp
4	System	0x81edaca8	0x8b4	File	0x12019f	\Device\Tcp
4	System	0x81edab70	0x8b8	File	0x12019f	\Device\Tcp
4	System	0x81df5560	0x8bc	File	0x12019f	\Device\Tcp
4	System	0x81da4ae0	0x8c0	File	0x12019f	\Device\Tcp
4	System	0x81da4958	0x8c4	File	0x12019f	\Device\Tcp
4	System	0x81da4618	0x8c8	File	0x12019f	\Device\Tcp
4	System	0x81fdf7c0	0x8cc	File	0x12019f	\Device\Tcp
4	System	0x81fdf638	0x8d0	File	0x12019f	\Device\Tcp
4	System	0x81fdf550	0x8d4	File	0x12019f	\Device\Tcp
4	System	0x81fe1dd0	0x8d8	File	0x12019f	\Device\Tcp
4	System	0x81fe1c18	0x8dc	File	0x12019f	\Device\Tcp
4	System	0x81e08c40	0x8e0	File	0x12019f	\Device\Tcp
4	System	0x81e08a88	0x8e4	File	0x12019f	\Device\Tcp
4	System	0x81df3ef0	0x8e8	File	0x12019f	\Device\Tcp
4	System	0x81df3d68	0x8ec	File	0x12019f	\Device\Tcp
4	System	0x81df3bb0	0x8f0	File	0x12019f	\Device\Tcp
4	System	0x82060ea0	0x8f4	File	0x12019f	\Device\Tcp
4	System	0x82060d18	0x8f8	File	0x12019f	\Device\Tcp
4	System	0x82060b60	0x8fc	File	0x12019f	\Device\Tcp
4	System	0x81ca4688	0x900	File	0x12019f	\Device\Tcp
4	System	0x81ca44d0	0x904	File	0x12019f	\Device\Tcp
4	System	0x81ca4318	0x908	File	0x12019f	\Device\Tcp
4	System	0x81df5ef0	0x90c	File	0x12019f	\Device\Tcp
4	System	0x81df5d68	0x910	File	0x12019f	\Device\Tcp
4	System	0x81df5bb0	0x914	File	0x12019f	\Device\Tcp
4	System	0x81df6f90	0x918	File	0x12019f	\Device\Tcp
4	System	0x81df6dd8	0x91c	File	0x12019f	\Device\Tcp
4	System	0x81df6c20	0x920	File	0x12019f	\Device\Tcp
4	System	0x81df6a68	0x924	File	0x12019f	\Device\Tcp
4	System	0x81df68b0	0x928	File	0x12019f	\Device\Tcp
4	System	0x81df66f8	0x92c	File	0x12019f	\Device\Tcp
4	System	0x81df6540	0x930	File	0x12019f	\Device\Tcp
4	System	0x81df2b30	0x934	File	0x12019f	\Device\Tcp
4	System	0x81df2978	0x938	File	0x12019f	\Device\Tcp
4	System	0x81df27c0	0x93c	File	0x12019f	\Device\Tcp
4	System	0x81df2608	0x940	File	0x12019f	\Device\Tcp
4	System	0x81df2450	0x944	File	0x12019f	\Device\Tcp
4	System	0x81df2298	0x948	File	0x12019f	\Device\Tcp
4	System	0x81df20e0	0x94c	File	0x12019f	\Device\Tcp
4	System	0x81fe4b40	0x950	File	0x12019f	\Device\Tcp
4	System	0x81fe49b8	0x954	File	0x12019f	\Device\Tcp
4	System	0x81fe4800	0x958	File	0x12019f	\Device\Tcp
4	System	0x81fe4648	0x95c	File	0x12019f	\Device\Tcp
4	System	0x81fe4490	0x960	File	0x12019f	\Device\Tcp
4	System	0x81fe42d8	0x964	File	0x12019f	\Device\Tcp
4	System	0x81fe4120	0x968	File	0x12019f	\Device\Tcp
4	System	0x81ca0be8	0x96c	File	0x12019f	\Device\Tcp
4	System	0x81ca0a30	0x970	File	0x12019f	\Device\Tcp
4	System	0x81ca0878	0x974	File	0x12019f	\Device\Tcp
4	System	0x81ca06c0	0x978	File	0x12019f	\Device\Tcp
4	System	0x81ca0508	0x97c	File	0x12019f	\Device\Tcp
4	System	0x81ca0350	0x980	File	0x12019f	\Device\Tcp
4	System	0x81ca0198	0x984	File	0x12019f	\Device\Tcp
4	System	0x81fe0c20	0x988	File	0x12019f	\Device\Tcp
4	System	0x81fe0a98	0x98c	File	0x12019f	\Device\Tcp
4	System	0x81fe08e0	0x990	File	0x12019f	\Device\Tcp
4	System	0x81fe0728	0x994	File	0x12019f	\Device\Tcp
4	System	0x81fe0570	0x998	File	0x12019f	\Device\Tcp
4	System	0x81fe03b8	0x99c	File	0x12019f	\Device\Tcp
4	System	0x81fe0200	0x9a0	File	0x12019f	\Device\Tcp
4	System	0x81ca3028	0x9a4	File	0x12019f	\Device\Tcp
