Volatility 3 Framework 2.7.0

Virtual	Physical	Size	Offset in File	File output
0x740000	0x4b2f000	0x1000	0x114000	Disabled
0x741000	0x3bae000	0x1000	0x115000	Disabled
0x742000	0x4f6d000	0x1000	0x116000	Disabled
0x743000	0x1182c000	0x1000	0x117000	Disabled
0x744000	0x41eb000	0x1000	0x118000	Disabled
0x745000	0x80ea000	0x1000	0x119000	Disabled
0x746000	0x4ea9000	0x1000	0x11a000	Disabled
0x747000	0x4b28000	0x1000	0x11b000	Disabled
0x748000	0x6aa7000	0x1000	0x11c000	Disabled
0x749000	0x4b26000	0x1000	0x11d000	Disabled
0x74a000	0x4865000	0x1000	0x11e000	Disabled
0x74b000	0x4ee4000	0x1000	0x11f000	Disabled
0x74c000	0x4863000	0x1000	0x120000	Disabled
0x74d000	0x6e22000	0x1000	0x121000	Disabled
0x74e000	0xd9a1000	0x1000	0x122000	Disabled
0x74f000	0x6ce0000	0x1000	0x123000	Disabled
0x750000	0x4b5f000	0x1000	0x124000	Disabled
0x751000	0x425e000	0x1000	0x125000	Disabled
0x752000	0x4b5d000	0x1000	0x126000	Disabled
0x753000	0x879c000	0x1000	0x127000	Disabled
0x754000	0x4cdb000	0x1000	0x128000	Disabled
0x755000	0x6f1a000	0x1000	0x129000	Disabled
0x756000	0x7419000	0x1000	0x12a000	Disabled
0x757000	0x6cd8000	0x1000	0x12b000	Disabled
0x758000	0x7257000	0x1000	0x12c000	Disabled
0x759000	0x4b56000	0x1000	0x12d000	Disabled
0x75a000	0x7115000	0x1000	0x12e000	Disabled
0x75b000	0x6c94000	0x1000	0x12f000	Disabled
0x75c000	0x4b93000	0x1000	0x130000	Disabled
0x75d000	0x1da52000	0x1000	0x131000	Disabled
0x75e000	0x6cd1000	0x1000	0x132000	Disabled
0x75f000	0x3b10000	0x1000	0x133000	Disabled
0x760000	0x6f4f000	0x1000	0x134000	Disabled
0x761000	0x6d0e000	0x1000	0x135000	Disabled
0x762000	0x4c4d000	0x1000	0x136000	Disabled
0x763000	0x480c000	0x1000	0x137000	Disabled
0x764000	0x3bcb000	0x1000	0x138000	Disabled
0x765000	0x48ca000	0x1000	0x139000	Disabled
0x766000	0x7089000	0x1000	0x13a000	Disabled
0x767000	0x4ac8000	0x1000	0x13b000	Disabled
0x768000	0x3bc7000	0x1000	0x13c000	Disabled
0x769000	0x4bc6000	0x1000	0x13d000	Disabled
0x86b000	0x1ce9a000	0x1000	0x13e000	Disabled
0x86c000	0x1d259000	0x1000	0x13f000	Disabled
0x86d000	0x1381a000	0x1000	0x140000	Disabled
0x86e000	0x73d7000	0x1000	0x141000	Disabled
0x86f000	0x6fd7000	0x1000	0x142000	Disabled
0x870000	0x4b16000	0x1000	0x143000	Disabled
0x871000	0x1cf9b000	0x1000	0x144000	Disabled
0x872000	0x1d0dc000	0x1000	0x145000	Disabled
0x873000	0x1d19d000	0x1000	0x146000	Disabled
0x874000	0x1ce5e000	0x1000	0x147000	Disabled
0x875000	0x1cfdf000	0x1000	0x148000	Disabled
0x876000	0x1cf52000	0x1000	0x149000	Disabled
0x877000	0x1ce53000	0x1000	0x14a000	Disabled
0x878000	0x1cf94000	0x1000	0x14b000	Disabled
0x879000	0x1d255000	0x1000	0x14c000	Disabled
0x87a000	0x1d296000	0x1000	0x14d000	Disabled
0x87b000	0x1cf97000	0x1000	0x14e000	Disabled
0x87c000	0x1cb66000	0x1000	0x14f000	Disabled
0x87d000	0x1dc36000	0x1000	0x150000	Disabled
0x87e000	0x1da77000	0x1000	0x151000	Disabled
0x87f000	0x1d77b000	0x1000	0x152000	Disabled
0x880000	0x1dbff000	0x1000	0x153000	Disabled
0x881000	0x1e140000	0x1000	0x154000	Disabled
0x882000	0x1df41000	0x1000	0x155000	Disabled
0x883000	0x1dcc2000	0x1000	0x156000	Disabled
0x884000	0x1dc43000	0x1000	0x157000	Disabled
0x885000	0x1d984000	0x1000	0x158000	Disabled
0x886000	0x1db85000	0x1000	0x159000	Disabled
0x887000	0x1dd86000	0x1000	0x15a000	Disabled
0x888000	0x1df07000	0x1000	0x15b000	Disabled
0x889000	0x1e016000	0x1000	0x15c000	Disabled
0x88a000	0x1dd57000	0x1000	0x15d000	Disabled
0x88b000	0x1de58000	0x1000	0x15e000	Disabled
0x88c000	0x1df19000	0x1000	0x15f000	Disabled
0x88d000	0x1db9a000	0x1000	0x160000	Disabled
0x88e000	0x1df0b000	0x1000	0x161000	Disabled
0x88f000	0x1ddcc000	0x1000	0x162000	Disabled
0x890000	0x1dc8d000	0x1000	0x163000	Disabled
0x891000	0x1de0e000	0x1000	0x164000	Disabled
0x892000	0x1dbcf000	0x1000	0x165000	Disabled
0x893000	0x1db90000	0x1000	0x166000	Disabled
0x894000	0x1dc11000	0x1000	0x167000	Disabled
0x895000	0x1dbde000	0x1000	0x168000	Disabled
0x896000	0x1dea0000	0x1000	0x169000	Disabled
0x897000	0x1d430000	0x1000	0x16a000	Disabled
0x898000	0x1d632000	0x1000	0x16b000	Disabled
0x899000	0x1d5b3000	0x1000	0x16c000	Disabled
0x89a000	0x1d734000	0x1000	0x16d000	Disabled
0x89b000	0x1d9b5000	0x2000	0x16e000	Disabled
0x89d000	0x1dbf2000	0x1000	0x170000	Disabled
0x89e000	0x1d928000	0x1000	0x171000	Disabled
0x89f000	0x1dc76000	0x1000	0x172000	Disabled
0x8a0000	0x1daaa000	0x1000	0x173000	Disabled
0x8a1000	0x1dcab000	0x1000	0x174000	Disabled
0x8a2000	0x1dd2c000	0x1000	0x175000	Disabled
0x8a3000	0x1d27b000	0x1000	0x176000	Disabled
0x8a4000	0x1ddfd000	0x1000	0x177000	Disabled
0x8a5000	0x1d73e000	0x1000	0x178000	Disabled
0x8a6000	0x1d97f000	0x1000	0x179000	Disabled
0x8a7000	0x1e300000	0x1000	0x17a000	Disabled
0x8a8000	0x1e001000	0x1000	0x17b000	Disabled
0x8a9000	0x1df02000	0x1000	0x17c000	Disabled
0x8aa000	0xf347000	0x1000	0x17d000	Disabled
0x8ab000	0x5329000	0x1000	0x17e000	Disabled
0x8ac000	0xe30e000	0x1000	0x17f000	Disabled
0x8ad000	0x123c7000	0x1000	0x180000	Disabled
0x8ae000	0x12500000	0x1000	0x181000	Disabled
0x8af000	0x1d95f000	0x1000	0x182000	Disabled
0x8b0000	0x1db20000	0x1000	0x183000	Disabled
0x8b1000	0x1dae1000	0x1000	0x184000	Disabled
0x8b2000	0x1da62000	0x1000	0x185000	Disabled
0x8b3000	0x1d8a3000	0x1000	0x186000	Disabled
0x8b4000	0x1da64000	0x1000	0x187000	Disabled
0x8b5000	0x11fc0000	0x1000	0x188000	Disabled
0x8b6000	0x11c22000	0x1000	0x189000	Disabled
0x8b7000	0x121ef000	0x1000	0x18a000	Disabled
0x8b8000	0x7c59000	0x1000	0x18b000	Disabled
0x8b9000	0x11f71000	0x1000	0x18c000	Disabled
0x8ba000	0x12348000	0x1000	0x18d000	Disabled
0x8bb000	0x7937000	0x1000	0x18e000	Disabled
0x8bc000	0x1b958000	0x1000	0x18f000	Disabled
0x8bd000	0x120c1000	0x1000	0x190000	Disabled
0x8be000	0x10016000	0x1000	0x191000	Disabled
0x8bf000	0x161d8000	0x1000	0x192000	Disabled
0x8c0000	0x12318000	0x1000	0x193000	Disabled
0x8c1000	0x1c4a1000	0x1000	0x194000	Disabled
0x8c2000	0x158fa000	0x1000	0x195000	Disabled
0x8c3000	0x15a71000	0x1000	0x196000	Disabled
0x8c4000	0x8ad8000	0x1000	0x197000	Disabled
0x8c5000	0x1b87d000	0x1000	0x198000	Disabled
0x8c6000	0x11df1000	0x1000	0x199000	Disabled
0x8c7000	0x12190000	0x1000	0x19a000	Disabled
0x8c8000	0x7c00000	0x1000	0x19b000	Disabled
0x8c9000	0x28c1000	0x1000	0x19c000	Disabled
0x8ca000	0xa1c2000	0x1000	0x19d000	Disabled
0x8cb000	0x5347000	0x1000	0x19e000	Disabled
0x8cc000	0x5a48000	0x1000	0x19f000	Disabled
0x8cd000	0x120c9000	0x1000	0x1a0000	Disabled
0x8ce000	0x1bfa9000	0x1000	0x1a1000	Disabled
0x8cf000	0x1c06a000	0x1000	0x1a2000	Disabled
0x8d0000	0x1c2ab000	0x1000	0x1a3000	Disabled
0x8d1000	0x1c2ec000	0x1000	0x1a4000	Disabled
0x8d2000	0x1c0ad000	0x1000	0x1a5000	Disabled
0x8d3000	0x1c16e000	0x1000	0x1a6000	Disabled
0x8d4000	0x1c2ef000	0x1000	0x1a7000	Disabled
0x8d5000	0x1c030000	0x1000	0x1a8000	Disabled
0x8d6000	0x1c0f1000	0x1000	0x1a9000	Disabled
0x8d7000	0x1c232000	0x1000	0x1aa000	Disabled
0x8d8000	0x1c3b3000	0x1000	0x1ab000	Disabled
0x8d9000	0x7328000	0x1000	0x1ac000	Disabled
0x8da000	0x1c534000	0x1000	0x1ad000	Disabled
0x8db000	0x1c2b5000	0x2000	0x1ae000	Disabled
0x8dd000	0x1c0f7000	0x1000	0x1b0000	Disabled
0x8de000	0x1c078000	0x1000	0x1b1000	Disabled
0x8df000	0x1c239000	0x1000	0x1b2000	Disabled
0x8e0000	0x1c27a000	0x1000	0x1b3000	Disabled
0x8e1000	0x1c07b000	0x1000	0x1b4000	Disabled
0x8e2000	0x1c17c000	0x1000	0x1b5000	Disabled
0x8e3000	0x1c4fd000	0x1000	0x1b6000	Disabled
0x8e4000	0x1e1f4000	0x1000	0x1b7000	Disabled
0x8e5000	0x1ddfc000	0x1000	0x1b8000	Disabled
0x8e6000	0x1dcf8000	0x1000	0x1b9000	Disabled
0x8e7000	0x1e6c0000	0x1000	0x1ba000	Disabled
0x8e8000	0x1e301000	0x1000	0x1bb000	Disabled
0x8e9000	0x1e2c2000	0x1000	0x1bc000	Disabled
0x8ea000	0x1df1a000	0x1000	0x1bd000	Disabled
0x8eb000	0x1e19c000	0x1000	0x1be000	Disabled
0x8ec000	0x1e29d000	0x1000	0x1bf000	Disabled
0x8ed000	0x1df1e000	0x1000	0x1c0000	Disabled
0x8ee000	0x1e09f000	0x1000	0x1c1000	Disabled
0x8ef000	0x1e220000	0x2000	0x1c2000	Disabled
0x8f1000	0x1e1a2000	0x1000	0x1c4000	Disabled
0x8f2000	0x1dfd2000	0x1000	0x1c5000	Disabled
0x8f3000	0x1de54000	0x1000	0x1c6000	Disabled
0x8f4000	0x1e315000	0x1000	0x1c7000	Disabled
0x8f5000	0x1e1c7000	0x1000	0x1c8000	Disabled
0x8f6000	0x1e0c9000	0x1000	0x1c9000	Disabled
0x8f7000	0x1e00a000	0x1000	0x1ca000	Disabled
0x8f8000	0x1e24b000	0x1000	0x1cb000	Disabled
0x8f9000	0x1dbcc000	0x1000	0x1cc000	Disabled
0x8fa000	0x1dfcd000	0x1000	0x1cd000	Disabled
0x8fb000	0x1dde5000	0x1000	0x1ce000	Disabled
0x8fc000	0x1dce9000	0x1000	0x1cf000	Disabled
0x8fd000	0x1df2b000	0x1000	0x1d0000	Disabled
0x8fe000	0x1e02c000	0x1000	0x1d1000	Disabled
0x8ff000	0x1dded000	0x1000	0x1d2000	Disabled
0x900000	0x1deae000	0x1000	0x1d3000	Disabled
0x901000	0x1e02f000	0x1000	0x1d4000	Disabled
0x902000	0x1dd70000	0x1000	0x1d5000	Disabled
0x903000	0x1ddb1000	0x1000	0x1d6000	Disabled
0x904000	0x1deb2000	0x1000	0x1d7000	Disabled
0x905000	0x1e073000	0x1000	0x1d8000	Disabled
0x906000	0x1e1b4000	0x1000	0x1d9000	Disabled
0x907000	0x1def5000	0x1000	0x1da000	Disabled
0x908000	0x1e202000	0x1000	0x1db000	Disabled
0x909000	0x1dcb8000	0x1000	0x1dc000	Disabled
0x90a000	0x1defa000	0x1000	0x1dd000	Disabled
0x90b000	0x1dcfb000	0x1000	0x1de000	Disabled
0x90c000	0x1dd3c000	0x1000	0x1df000	Disabled
0x90d000	0x1e0fd000	0x1000	0x1e0000	Disabled
0x90e000	0x1e600000	0x1000	0x1e1000	Disabled
0x90f000	0x1e28b000	0x1000	0x1e2000	Disabled
0x910000	0x1e207000	0x1000	0x1e3000	Disabled
0x911000	0x1df4f000	0x1000	0x1e4000	Disabled
0x912000	0x1df91000	0x1000	0x1e5000	Disabled
0x913000	0x1e355000	0x1000	0x1e6000	Disabled
